Date,Title,Author,Status,Re-read?,Note,Google Books,Img link
1/1/22,The Road,Cormac McCarthy,,TRUE,,http://books.google.com/books?id=VcZtDwAAQBAJ&pg=PP1&dq=The+Road&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=VcZtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,Lost And Wanted,Nell Freudenberger,,FALSE,,http://books.google.com/books?id=-LNiDwAAQBAJ&pg=PP1&dq=Lost+And+Wanted&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=-LNiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,One Flew Over the Cuckoo’s Nest,Ken Kesey,,FALSE,,http://books.google.com/books?id=JDHuAAAAMAAJ&q=One+Flew+Over+the+Cuckoo%E2%80%99s+Nest&dq=One+Flew+Over+the+Cuckoo%E2%80%99s+Nest&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=JDHuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,Walden,Henry David Thoreau,Paused,FALSE,,http://books.google.com/books?id=ZNbXwAEACAAJ&dq=Walden&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=ZNbXwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,The Great Alone,Kristin Hannah,,FALSE,,http://books.google.com/books?id=uQBoswEACAAJ&dq=The+Great+Alone&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=uQBoswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,A Single Man,Christopher Isherwood,,TRUE,,http://books.google.com/books?id=8X7WAAAAQBAJ&dq=A+Single+Man&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=8X7WAAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
12/1/21,Cold Mountain,Charles Frazier,,FALSE,,http://books.google.com/books?id=RINgAAAACAAJ&dq=Cold+Mountain&hl=&cd=2&source=gbs_api,http://books.google.com/books/content?id=RINgAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
11/1/21,Melisande! What are dreams?,Hillel Halkin,,FALSE,,http://books.google.com/books?id=T__AkwEACAAJ&dq=Melisande!+What+are+dreams%3F&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=T__AkwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/21,When Breath Becomes Air,Paul Kalanithi,,TRUE,,http://books.google.com/books?id=Lu2TuQEACAAJ&dq=When+Breath+Becomes+Air&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=Lu2TuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
8/1/21,Carry On,Rainbow Rowell,,FALSE,,http://books.google.com/books?id=yKbvAAAAMAAJ&q=Carry+On&dq=Carry+On&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=yKbvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
